"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"23","Delhi Government Allopathic Dispensary, Gali Samosan","Public/ Government","Dispensary","1st Floor, Community Centre, Faras Khana","Delhi","Central Delhi","NA","110006","011 23953101","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"24","Delhi Government Allopathic Dispensary, Hindustani Dawakhana","Public/ Government","Dispensary","1404, Gali Qasim Jan, Ballimaran","Delhi","Central Delhi","NA","110006","011 23971413","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"25","Delhi Government Allopathic Dispensary, Nabi Karim","Public/ Government","Dispensary","SCP Gali No. 4., Baghichi Alaudin, Pahar Ganj","Delhi","Central Delhi","NA","110055","011 23622309","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"26","Delhi Government Allopathic Dispensary, Chamelian Road","Public/ Government","Dispensary","6562/13, Behind Filmistan Cinema","Delhi","Central Delhi","NA","110006","011 23539489","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"27","Delhi Government Allopathic Dispensary, Pahar Ganj","Public/ Government","Dispensary","4488, Shahid Bhagat Singh Gali, Shora Kothi","Delhi","Central Delhi","NA","110055","011 23561814","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"28","Delhi Government Allopathic Dispensary, Regharpura","Public/ Government","Dispensary","MPCC, 1st Floor, 100-qrts Jagivan Niwas, Vishnu Marg, Karol Bagh","Delhi","Central Delhi","NA","110005","011 25860557","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"29","Delhi Government Allopathic Dispensary, Motia Khan","Public/ Government","Dispensary","SCP Opposite 68- 69, Janta Market, Jhandewalan Mandi","Delhi","Central Delhi","NA","110055","011 23615568","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"30","Delhi Government Allopathic Dispensary, Tank Road","Public/ Government","Dispensary","MPCC, 1st Floor, Gali No.4, Tank Road","Delhi","Central Delhi","NA","110005","011 25860423","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"31","Delhi Government Allopathic Dispensary, Delhi Sachiwalaya","Public/ Government","Dispensary","Room No.206 C-Wing, Player Building, 2nd floor","Delhi","Central Delhi","NA","110001","011 23392406","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"32","Delhi Government Allopathic Dispensary, Mayur Vihar","Public/ Government","Dispensary","436A, 437A&B, MIG flats, Mayur Vihar Phase- I","Delhi","East Delhi","NA","110091","011 22752593","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"33","Delhi Government Allopathic Dispensary, Trilok Puri","Public/ Government","Dispensary","Block-5, Nr. Chand Cinema, Trilok Puri","Delhi","East Delhi","NA","110091","011 22782815","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"34","Delhi Government Allopathic Dispensary, Himmat Puri","Public/ Government","Dispensary","Block-32, Himmat Puri","Delhi","East Delhi","NA","110091","011 22711407","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"35","Seed PUHC, New Ashok Nagar","Public/ Government","Dispensary","C-II/57, New Ashok Nagar","Delhi","East Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"36","Delhi Government Allopathic Dispensary, Kalyan Puri","Public/ Government","Dispensary","1/1 Khichri Pur, Kalyan Puri","Delhi","East Delhi","NA","110091","011 22771350","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"37","Delhi Government Allopathic Dispensary, Vasundhara Enclave","Public/ Government","Dispensary","Vasundhara Enclave, near Mamta Public School","Delhi","East Delhi","NA","NA","011 22612490","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"38","Delhi Government Allopathic Dispensary, Mayur Vihar","Public/ Government","Dispensary","PH-III(Kondli), MayurVihar Ph-III, Kondli","Delhi","East Delhi","NA","110096","011 22611102","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"39","Seed PUHC Rajbir Colony","Public/ Government","Dispensary","B-277, Gali No.2 , Rajbir Colony, Gharoli Extension","Delhi","East Delhi","NA","110091","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"40","Delhi Government Allopathic Dispensary, Shashi Garden","Public/ Government","Dispensary","Basti Vikas Kendra, Pt. Bismil camp, Shashi Garden","Delhi","East Delhi","NA","110091","011 22794113","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"41","Delhi Government Allopathic Dispensary, Bank Enclave","Public/ Government","Dispensary","Bank Enclave (Opposite H.No.-75, Near Park)","Delhi","East Delhi","NA","NA","011 22423023","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"42","Delhi Government Allopathic Dispensary, Laxmi Nagar","Public/ Government","Dispensary","L-102, Jagat RamPark, Laxmi Nagar (first floor)","Delhi","East Delhi","NA","110091","011 22507921","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"43","Delhi Government Allopathic Dispensary, Mandawali Fazal Pur","Public/ Government","Dispensary","Mandawali Fazal Pur","Delhi","East Delhi","NA","110092","011 22476176","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"44","Delhi Government Allopathic Dispensary, Pandav Nagar","Public/ Government","Dispensary","B-28, Pandav Nagar","Delhi","East Delhi","NA","NA","011 22484941","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"45","Delhi Government Allopathic Dispensary,I.P. Extension","Public/ Government","Dispensary","Behind Hasan Pur DTC Bus Depot, Opposite Sidh Apartment,Indraprastha Extension","Delhi","East Delhi","NA","110091","011 22234321","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"46","Delhi Government Allopathic Dispensary, Seed PUHC Ghazipur","Public/ Government","Dispensary","C-19, Gazi Pur Village","Delhi","East Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"47","Delhi Government Allopathic Dispensary, Jagat Puri","Public/ Government","Dispensary","H.No. 276, Gagan Vihar(ground floor)","Delhi","East Delhi","NA","110051","011 22458500","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"48","Seed PUHC, Jheel","Public/ Government","Dispensary","Banke Biharitemple(1st floor), Scooter Market, Jheel","Delhi","East Delhi","NA","110031","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"49","Delhi Government Allopathic Dispensary, Geeta Colony","Public/ Government","Dispensary","12/113, Geeta Colony","Delhi","East Delhi","NA","110031","011 22504357","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"50","Delhi Government Allopathic Dispensary, New Lahore Shastri Nagar","Public/ Government","Dispensary","New Lahore Shastri Nagar, Near Dy. Commissioner (East) Office","Delhi","East Delhi","NA","110031","011 22044900","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"51","Delhi Government Allopathic Dispensary, Chander Nagar","Public/ Government","Dispensary","C-50, New Gobind Pura (Ground floor)","Delhi","East Delhi","NA","110051","011 22503754","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"52","Delhi Government Allopathic Dispensary, Nangal Raya","Public/ Government","Dispensary","Near Govt. Boys Sr. Sec. School, D – Block, Janakpuri, DDA Commercial Centre Nangal Raya(12 Hours Double Shift)","Delhi","New Delhi","NA","110046","011 28523493","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"53","Delhi Government Allopathic Dispensary, Mayapuri","Public/ Government","Dispensary","Near Rewadi RailwayLine, BVK Mayapuri-II","Delhi","New Delhi","NA","110064","011 28116626","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"54","Delhi Government Allopathic Dispensary, Sagarpur","Public/ Government","Dispensary","Gali No. 5, West Sagarpur, Opposite M&CW Centre,Sagarpur","Delhi","New Delhi","NA","110046","011 28524562","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"55","Delhi Government Allopathic Dispensary, Shah. Md. Pur","Public/ Government","Dispensary","Mor Wali Gali, Lamba Mohalla, Near Railway Station, Shahbad Moh., Pur","Delhi","New Delhi","NA","110061","011 25654938","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"56","Seed PUHC, Smalkha","Public/ Government","Dispensary","Telephone Exchange Road, Village Samalkha","Delhi","New Delhi","NA","NA","011 25065397","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"57","Delhi Government Allopathic Dispensary, Mahipal Pur","Public/ Government","Dispensary","Panchayat Bhawan, Mandir Wali Gali, Village Mahipalpur","Delhi","New Delhi","NA","110037","011 26783169","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"58","Delhi Government Allopathic Dispensary, Moti Bagh (Shastri Market)","Public/ Government","Dispensary","Basti Vikas Kendra, Shashi Market, NanakpuraGurudwara, Moti Bagh","Delhi","New Delhi","NA","NA","011 24121123","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"59","Delhi Government Allopathic Dispensary, Budh Nagar","Public/ Government","Dispensary","C-Block, JJ Colony,Budh Nagar","Delhi","New Delhi","NA","110012","011 25836783","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"60","Delhi Government Allopathic Dispensary, Inderpuri","Public/ Government","Dispensary","EA-50, Inderpuri","Delhi","New Delhi","NA","110012","011 25835843","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"61","Delhi Government Allopathic Dispensary, Rajokri","Public/ Government","Dispensary","1050 Village & Post Rajokari Near Community Centre","Delhi","New Delhi","NA","110038","011 25063937","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"62","Delhi Government Allopathic Dispensary, Medical & Health Centre","Public/ Government","Dispensary","Delhi High Court Complex, Bhagwan Das Road(12 Hours Double Shift)","Delhi","New Delhi","NA","110001","011 23070962","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"63","Delhi Government Allopathic Dispensary, Patiala House Court","Public/ Government","Dispensary","Patiala House Court Complex, Tilak Marg","Delhi","New Delhi","NA","110001","011 23384209","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"64","Delhi Government Allopathic Dispensary, Basant Gaon","Public/ Government","Dispensary","Village Basant Gaon,New Delhi","Delhi","New Delhi","NA","110057","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"65","Delhi Government Allopathic Dispensary, Gautampuri","Public/ Government","Dispensary","Gali No.7, Jafrabad, seelampur","Delhi","North East Delhi","NA","110053","011 22826102","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
